행정구역,총인구수,연령구간인구수,2020년12월_계_0~9세,2020년12월_계_10~19세,2020년12월_계_20~29세,2020년12월_계_30~39세,2020년12월_계_40~49세,2020년12월_계_50~59세,2020년12월_계_60~69세,2020년12월_계_70~79세,2020년12월_계_80~89세,2020년12월_계_90~99세,2020년12월_계_100세 이상
서울특별시 용산구 청파동(1117055500),19829.0,19829.0,665.0,1175.0,4244.0,3113.0,2757.0,3133.0,2387.0,1526.0,687.0,108.0,34.0
서울특별시 용산구 원효로제1동(1117056000),16089.0,16089.0,1318.0,868.0,2458.0,3695.0,2628.0,2209.0,1619.0,842.0,363.0,70.0,19.0
서울특별시 용산구 원효로제2동(1117057000),14202.0,14202.0,941.0,1258.0,1856.0,2074.0,2306.0,2348.0,1733.0,1056.0,545.0,71.0,14.0
서울특별시 용산구 효창동(1117058000),10205.0,10205.0,768.0,767.0,1575.0,1859.0,1570.0,1566.0,1061.0,638.0,327.0,60.0,14.0
서울특별시 용산구 용문동(1117059000),12327.0,12327.0,766.0,843.0,1856.0,2023.0,1863.0,1975.0,1552.0,972.0,393.0,71.0,13.0
서울특별시 용산구 한강로동(1117062500),20444.0,20444.0,1122.0,997.0,3138.0,4043.0,2867.0,3464.0,2544.0,1422.0,662.0,142.0,43.0
서울특별시 용산구 이촌제1동(1117063000),28139.0,28139.0,2734.0,2918.0,3002.0,3663.0,4914.0,4593.0,3005.0,1839.0,1198.0,240.0,33.0
서울특별시 용산구 이촌제2동(1117064000),8727.0,8727.0,563.0,514.0,965.0,1470.0,1257.0,1406.0,1337.0,770.0,367.0,64.0,14.0
서울특별시 용산구 이태원제1동(1117065000),6923.0,6923.0,237.0,282.0,1054.0,1150.0,880.0,1131.0,1077.0,638.0,370.0,80.0,24.0
서울특별시 용산구 이태원제2동(1117066000),9285.0,9285.0,432.0,494.0,1409.0,1656.0,1421.0,1300.0,1208.0,841.0,424.0,85.0,15.0
서울특별시 용산구 한남동(1117068500),21176.0,21176.0,1178.0,1162.0,2784.0,4038.0,3379.0,3291.0,2781.0,1639.0,727.0,162.0,35.0
서울특별시 용산구 서빙고동(1117069000),13187.0,13187.0,787.0,1471.0,1802.0,1522.0,2468.0,2219.0,1418.0,806.0,602.0,86.0,6.0
서울특별시 용산구 보광동(1117070000),14216.0,14216.0,466.0,792.0,2228.0,2156.0,2095.0,2489.0,2040.0,1262.0,566.0,99.0,23.0
서울특별시 성동구 (1120000000),293556.0,293556.0,20449.0,19815.0,45043.0,48905.0,45020.0,47248.0,36534.0,20586.0,8520.0,1185.0,251.0
서울특별시 성동구 왕십리제2동(1120052000),17085.0,17085.0,1227.0,1208.0,2498.0,2942.0,2647.0,2749.0,2094.0,1191.0,444.0,65.0,20.0
서울특별시 성동구 왕십리도선동(1120053500),27081.0,27081.0,2376.0,1570.0,4404.0,4765.0,4032.0,4414.0,3053.0,1623.0,710.0,111.0,23.0
서울특별시 성동구 마장동(1120054000),22785.0,22785.0,1207.0,1623.0,4372.0,3274.0,3023.0,3712.0,3006.0,1743.0,709.0,97.0,19.0
서울특별시 성동구 사근동(1120055000),11932.0,11932.0,423.0,780.0,4642.0,1592.0,1153.0,1287.0,953.0,754.0,301.0,36.0,11.0
서울특별시 성동구 행당제1동(1120056000),14077.0,14077.0,1011.0,995.0,2215.0,2286.0,2172.0,2270.0,1683.0,977.0,389.0,67.0,12.0
서울특별시 성동구 행당제2동(1120057000),24063.0,24063.0,1820.0,2113.0,3027.0,3713.0,4079.0,3927.0,2804.0,1741.0,718.0,99.0,22.0
서울특별시 성동구 응봉동(1120058000),15764.0,15764.0,1190.0,1685.0,1754.0,2254.0,2937.0,2482.0,1681.0,1181.0,522.0,69.0,9.0
서울특별시 성동구 금호1가동(1120059000),15711.0,15711.0,1310.0,1058.0,1823.0,2765.0,2547.0,2385.0,2109.0,1125.0,513.0,64.0,12.0
서울특별시 성동구 금호2.3가동(1120061500),23409.0,23409.0,1750.0,1497.0,2931.0,4172.0,3760.0,3695.0,2981.0,1756.0,741.0,100.0,26.0
서울특별시 성동구 금호4가동(1120062000),14704.0,14704.0,1391.0,959.0,1507.0,2804.0,2574.0,2118.0,1786.0,1060.0,442.0,54.0,9.0
서울특별시 성동구 옥수동(1120064500),26661.0,26661.0,2584.0,1655.0,3010.0,5087.0,4504.0,3943.0,3205.0,1766.0,743.0,136.0,28.0
서울특별시 성동구 성수1가제1동(1120065000),16553.0,16553.0,1037.0,1111.0,2555.0,2904.0,2404.0,3048.0,2115.0,942.0,383.0,46.0,8.0
서울특별시 성동구 성수1가제2동(1120066000),13452.0,13452.0,767.0,905.0,2153.0,2477.0,2098.0,2059.0,1689.0,896.0,351.0,42.0,15.0
서울특별시 성동구 성수2가제1동(1120067000),16589.0,16589.0,830.0,896.0,2351.0,2610.0,2320.0,3151.0,2617.0,1242.0,486.0,71.0,15.0
서울특별시 성동구 성수2가제3동(1120069000),11177.0,11177.0,576.0,540.0,2019.0,1967.0,1465.0,1849.0,1524.0,824.0,359.0,44.0,10.0
서울특별시 성동구 송정동(1120072000),10725.0,10725.0,531.0,599.0,1713.0,1641.0,1558.0,1966.0,1616.0,748.0,299.0,46.0,8.0
서울특별시 성동구 용답동(1120079000),11788.0,11788.0,419.0,621.0,2069.0,1652.0,1747.0,2193.0,1618.0,1017.0,410.0,38.0,4.0
서울특별시 광진구 (1121500000),346682.0,346682.0,19572.0,25931.0,62940.0,55983.0,52482.0,54541.0,42460.0,22428.0,8850.0,1277.0,218.0
서울특별시 광진구 화양동(1121571000),22658.0,22658.0,381.0,713.0,9653.0,4383.0,2189.0,2091.0,1701.0,1050.0,408.0,66.0,23.0
서울특별시 광진구 군자동(1121573000),19930.0,19930.0,889.0,1047.0,4493.0,3637.0,2627.0,2899.0,2364.0,1366.0,532.0,66.0,10.0
서울특별시 광진구 중곡제1동(1121574000),15792.0,15792.0,774.0,764.0,2829.0,2990.0,2193.0,2532.0,2084.0,1174.0,387.0,56.0,9.0
서울특별시 광진구 중곡제2동(1121575000),21943.0,21943.0,1208.0,1408.0,3915.0,3932.0,3006.0,3571.0,2833.0,1494.0,496.0,71.0,9.0
서울특별시 광진구 중곡제3동(1121576000),16683.0,16683.0,765.0,957.0,2712.0,2750.0,2323.0,2921.0,2405.0,1293.0,483.0,60.0,14.0
서울특별시 광진구 중곡제4동(1121577000),29387.0,29387.0,1483.0,1950.0,4493.0,4387.0,4178.0,5323.0,4363.0,2305.0,767.0,111.0,27.0
서울특별시 광진구 능동(1121578000),11610.0,11610.0,578.0,553.0,2405.0,2668.0,1641.0,1415.0,1258.0,746.0,294.0,46.0,6.0
서울특별시 광진구 광장동(1121581000),35440.0,35440.0,3315.0,5511.0,4147.0,3839.0,7692.0,5470.0,3022.0,1473.0,810.0,151.0,10.0
서울특별시 광진구 자양제1동(1121582000),22790.0,22790.0,1017.0,1513.0,4390.0,3789.0,3385.0,3628.0,2852.0,1536.0,584.0,82.0,14.0
서울특별시 광진구 자양제2동(1121583000),25641.0,25641.0,1628.0,1889.0,3859.0,3934.0,4039.0,4283.0,3610.0,1694.0,596.0,96.0,13.0
서울특별시 광진구 자양제3동(1121584000),28687.0,28687.0,2335.0,2640.0,3953.0,4335.0,4594.0,4675.0,3554.0,1615.0,847.0,124.0,15.0
서울특별시 광진구 자양제4동(1121584700),17810.0,17810.0,710.0,879.0,2707.0,2612.0,2468.0,3120.0,2992.0,1619.0,608.0,78.0,17.0
서울특별시 광진구 구의제1동(1121585000),22040.0,22040.0,852.0,1189.0,4836.0,4228.0,3217.0,3191.0,2441.0,1429.0,580.0,62.0,15.0
서울특별시 광진구 구의제2동(1121586000),26954.0,26954.0,1774.0,2361.0,3777.0,3875.0,4358.0,4526.0,3492.0,1938.0,737.0,92.0,24.0
서울특별시 광진구 구의제3동(1121587000),29317.0,29317.0,1863.0,2557.0,4771.0,4624.0,4572.0,4896.0,3489.0,1696.0,721.0,116.0,12.0
서울특별시 동대문구 (1123000000),342837.0,342837.0,20788.0,23647.0,56331.0,50175.0,50630.0,53262.0,46393.0,28195.0,11521.0,1582.0,313.0
서울특별시 동대문구 용신동(1123053600),31190.0,31190.0,1288.0,1425.0,6136.0,5359.0,4238.0,4692.0,4136.0,2603.0,1130.0,157.0,26.0
서울특별시 동대문구 제기동(1123054500),24994.0,24994.0,1034.0,1396.0,4415.0,3268.0,3136.0,3846.0,3927.0,2632.0,1158.0,155.0,27.0
서울특별시 동대문구 전농제1동(1123056000),30204.0,30204.0,1890.0,1915.0,4680.0,4390.0,4337.0,4921.0,4228.0,2550.0,1107.0,140.0,46.0
서울특별시 동대문구 전농제2동(1123057000),19181.0,19181.0,1251.0,1721.0,2381.0,2301.0,3058.0,3293.0,2719.0,1616.0,757.0,73.0,11.0
서울특별시 동대문구 답십리제1동(1123060000),29099.0,29099.0,2743.0,1975.0,4017.0,5277.0,4712.0,4290.0,3269.0,1865.0,811.0,109.0,31.0
서울특별시 동대문구 답십리제2동(1123061000),29209.0,29209.0,1823.0,2012.0,3837.0,4486.0,4232.0,4979.0,4201.0,2493.0,1001.0,123.0,22.0
서울특별시 동대문구 장안제1동(1123065000),38710.0,38710.0,2543.0,2635.0,5292.0,6346.0,6385.0,6070.0,5442.0,2881.0,942.0,147.0,27.0
서울특별시 동대문구 장안제2동(1123066000),33039.0,33039.0,2889.0,2844.0,3881.0,5166.0,5784.0,4952.0,4334.0,2292.0,770.0,110.0,17.0
서울특별시 동대문구 청량리동(1123070500),19870.0,19870.0,801.0,1102.0,2348.0,2232.0,2537.0,3475.0,3772.0,2421.0,1008.0,146.0,28.0
서울특별시 동대문구 회기동(1123071000),10473.0,10473.0,453.0,706.0,3178.0,1473.0,1329.0,1236.0,981.0,707.0,342.0,56.0,12.0
서울특별시 동대문구 휘경제1동(1123072000),13631.0,13631.0,797.0,774.0,3284.0,2170.0,1700.0,1937.0,1529.0,962.0,408.0,60.0,10.0
서울특별시 동대문구 휘경제2동(1123073000),24297.0,24297.0,1263.0,2053.0,5324.0,3018.0,3530.0,3535.0,2930.0,1828.0,697.0,107.0,12.0
서울특별시 동대문구 이문제1동(1123074000),18477.0,18477.0,714.0,1275.0,4719.0,2170.0,2441.0,2618.0,2189.0,1525.0,694.0,96.0,36.0
서울특별시 동대문구 이문제2동(1123075000),20463.0,20463.0,1299.0,1814.0,2839.0,2519.0,3211.0,3418.0,2736.0,1820.0,696.0,103.0,8.0
서울특별시 중랑구 (1126000000),394702.0,394702.0,23064.0,26759.0,56112.0,58124.0,57883.0,69528.0,58222.0,31445.0,11758.0,1601.0,206.0
서울특별시 중랑구 면목제2동(1126052000),24865.0,24865.0,1280.0,1613.0,3416.0,3321.0,3700.0,4938.0,3686.0,2048.0,740.0,112.0,11.0
서울특별시 중랑구 면목제4동(1126054000),18972.0,18972.0,1052.0,1197.0,2501.0,2673.0,2953.0,3278.0,2875.0,1827.0,520.0,84.0,12.0
서울특별시 중랑구 면목제5동(1126055000),14537.0,14537.0,1286.0,911.0,1769.0,2646.0,2207.0,2464.0,1879.0,996.0,343.0,31.0,5.0
서울특별시 중랑구 면목본동(1126056500),34622.0,34622.0,1605.0,1991.0,5386.0,5336.0,5097.0,6354.0,4895.0,2819.0,993.0,120.0,26.0
서울특별시 중랑구 면목제7동(1126057000),22386.0,22386.0,1187.0,1270.0,3136.0,3425.0,3182.0,3934.0,3537.0,1956.0,660.0,87.0,12.0
서울특별시 중랑구 면목제3.8동(1126057500),25576.0,25576.0,1113.0,1496.0,3815.0,3627.0,3532.0,4725.0,4021.0,2301.0,827.0,108.0,11.0
서울특별시 중랑구 상봉제1동(1126058000),24763.0,24763.0,1858.0,1990.0,3574.0,3649.0,3600.0,4412.0,3322.0,1615.0,655.0,85.0,3.0
서울특별시 중랑구 상봉제2동(1126059000),19899.0,19899.0,793.0,813.0,4051.0,4124.0,2624.0,3104.0,2496.0,1355.0,461.0,66.0,12.0
서울특별시 중랑구 중화제1동(1126060000),20224.0,20224.0,1282.0,1347.0,2923.0,3215.0,2837.0,3379.0,3072.0,1544.0,551.0,69.0,5.0
서울특별시 중랑구 중화제2동(1126061000),25578.0,25578.0,1059.0,1178.0,3771.0,3699.0,3506.0,4971.0,4127.0,2294.0,863.0,92.0,18.0
서울특별시 중랑구 묵제1동(1126062000),35399.0,35399.0,2383.0,3137.0,4990.0,4953.0,5903.0,5551.0,4729.0,2609.0,992.0,129.0,23.0
서울특별시 중랑구 묵제2동(1126063000),19428.0,19428.0,1102.0,1224.0,2724.0,3117.0,2907.0,3247.0,2940.0,1546.0,548.0,61.0,12.0
서울특별시 중랑구 망우본동(1126065500),30431.0,30431.0,1499.0,1885.0,4215.0,4108.0,4128.0,5715.0,5072.0,2631.0,1008.0,150.0,20.0
서울특별시 중랑구 망우제3동(1126066000),17127.0,17127.0,795.0,1172.0,2334.0,2153.0,2444.0,3325.0,2756.0,1467.0,580.0,86.0,15.0
서울특별시 중랑구 신내1동(1126068000),39681.0,39681.0,3377.0,3791.0,4928.0,5125.0,6038.0,6572.0,5535.0,2817.0,1256.0,226.0,16.0
서울특별시 중랑구 신내2동(1126069000),21214.0,21214.0,1393.0,1744.0,2579.0,2953.0,3225.0,3559.0,3280.0,1620.0,761.0,95.0,5.0
